market,rarity,num,price
Yuyu-Tei,HR,PHNI-JP038,1480
Yuyu-Tei,QCSE,PHNI-JP000,29800
Yuyu-Tei,QCSE,PHNI-JP001,5980
Yuyu-Tei,QCSE,PHNI-JP008,1480
Yuyu-Tei,QCSE,PHNI-JP012,4980
Yuyu-Tei,QCSE,PHNI-JP018,1480
Yuyu-Tei,QCSE,PHNI-JP019,7980
Yuyu-Tei,QCSE,PHNI-JP022,3480
Yuyu-Tei,QCSE,PHNI-JP024,1280
Yuyu-Tei,QCSE,PHNI-JP037,3980
Yuyu-Tei,QCSE,PHNI-JP038,4980
Yuyu-Tei,QCSE,PHNI-JP042,1480
Yuyu-Tei,QCSE,PHNI-JP045,3980
Yuyu-Tei,QCSE,PHNI-JP046,1480
Yuyu-Tei,QCSE,PHNI-JP047,1280
Yuyu-Tei,QCSE,PHNI-JP049,1480
Yuyu-Tei,QCSE,PHNI-JP050,4980
Yuyu-Tei,QCSE,PHNI-JP052,19800
Yuyu-Tei,QCSE,PHNI-JP056,1480
Yuyu-Tei,QCSE,PHNI-JP070,980
Yuyu-Tei,QCSE,PHNI-JP079,2480
Yuyu-Tei,QCSE,PHNI-JP080,1280
Yuyu-Tei,QCSE,PHNI-JPS01,14800
Yuyu-Tei,SE,PHNI-JP001,1280
Yuyu-Tei,SE,PHNI-JP008,320
Yuyu-Tei,SE,PHNI-JP012,1480
Yuyu-Tei,SE,PHNI-JP018,420
Yuyu-Tei,SE,PHNI-JP019,1480
Yuyu-Tei,SE,PHNI-JP022,680
Yuyu-Tei,SE,PHNI-JP024,320
Yuyu-Tei,SE,PHNI-JP037,980
Yuyu-Tei,SE,PHNI-JP038,980
Yuyu-Tei,SE,PHNI-JP042,500
Yuyu-Tei,SE,PHNI-JP045,680
Yuyu-Tei,SE,PHNI-JP046,420
Yuyu-Tei,SE,PHNI-JP047,320
Yuyu-Tei,SE,PHNI-JP049,220
Yuyu-Tei,SE,PHNI-JP050,680
Yuyu-Tei,SE,PHNI-JP052,2980
Yuyu-Tei,SE,PHNI-JP056,420
Yuyu-Tei,SE,PHNI-JP070,220
Yuyu-Tei,SE,PHNI-JP079,320
Yuyu-Tei,SE,PHNI-JP080,320
Yuyu-Tei,UL,PHNI-JP024,180
Yuyu-Tei,UL,PHNI-JP037,580
Yuyu-Tei,UL,PHNI-JP038,420
Yuyu-Tei,UL,PHNI-JP042,280
Yuyu-Tei,UL,PHNI-JP045,220
Yuyu-Tei,UL,PHNI-JP047,220
